nom,description,created_at,updated_at,objectifs,date_debut,date_echeance
"lab crud standard ","creation d'un aplication crud avec laravel ","2022-01-01 00:00:00","2022-01-01 00:00:00","Objectives for project 1","2022-01-01","2022-12-31"
"lab unit test ","tester un aplication crud avec unet test ","2022-01-02 00:00:00","2022-01-02 00:00:00","Objectives for project 2","2022-01-02","2022-12-31"
"lab-scrum  ","familares avec la method scrum","2022-01-03 00:00:00","2022-01-03 00:00:00","Objectives for project 3","2022-01-03","2022-12-31"
"lab-javascript","Public project","2022-01-04 00:00:00","2022-01-04 00:00:00","Objectives for lab-javascript","2022-01-04","2022-12-31"
"lab-codage","Public Règle de codage project","2022-01-05 00:00:00","2022-01-05 00:00:00","Objectives for lab-codage","2022-01-05","2022-12-31"
"lab-collaboration","Public Apprendre à collaborer avec nous sur les labs et prototypes project","2022-01-06 00:00:00","2022-01-06 00:00:00","Objectives for lab-collaboration","2022-01-06","2022-12-31"
"lab-php","Public PowerShell project","2022-01-07 00:00:00","2022-01-07 00:00:00","Objectives for lab-php","2022-01-07","2022-12-31"
"nodejs","Public project","2022-01-08 00:00:00","2022-01-08 00:00:00","Objectives for nodejs","2022-01-08","2022-12-31"
"prototype_not_valide","Public PHP project","2022-01-09 00:00:00","2022-01-09 00:00:00","Objectives for prototype_not_valide","2022-01-09","2022-12-31"
"lab-crud-standard","Public PHP project","2022-01-10 00:00:00","2022-01-10 00:00:00","Objectives for lab-crud-standard","2022-01-10","2022-12-31"
